,Unnamed: 0,name,lat,lon,category,type,geometry,density
125,29,Deutsche Lufthansa AG,47.365474,8.530588,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.365474, 8.530588]}}",POINT (8.530588 47.365474),10
126,30,Varig Brasiliens Fluglinie,47.376772,8.537078,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.376772, 8.537078]}}",POINT (8.537078 47.376772),42
127,31,"Singapore Airlines Limited, Singapore, Zurich Branch",47.37729,8.535355,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.37729, 8.535355]}}",POINT (8.535355 47.37729),32
128,32,"Japan Airlines Co, Ltd",47.380589,8.542832,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.380589, 8.542832]}}",POINT (8.542832 47.380589),17
129,33,"Japan Airlines Co, Ltd",47.380589,8.542832,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.380589, 8.542832]}}",POINT (8.542832 47.380589),17
130,34,Lan Chile,47.373502,8.530403,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.373502, 8.530403]}}",POINT (8.530403 47.373502),21
131,35,Air Madagascar,47.373502,8.530403,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.373502, 8.530403]}}",POINT (8.530403 47.373502),21
132,36,TAM Airlines,47.371379,8.524953,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.371379, 8.524953]}}",POINT (8.524953 47.371379),4
133,0,Bar am Wasser,47.367515,8.541442,Cocktail Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.367515, 8.541442]}}",POINT (8.541442 47.367515),26
134,1,Drinx Bar,47.363747,8.54751,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.363747, 8.54751]}}",POINT (8.54751 47.363747),17
135,2,Old Fashion Bar,47.368776,8.540664,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.368776, 8.540664]}}",POINT (8.540664 47.368776),31
136,3,Grande Café & Bar,47.375505,8.543284,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.375505, 8.543284]}}",POINT (8.543284 47.375505),29
137,4,Totò - Ristorante e Bar,47.358023,8.553877,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.358023, 8.553877]}}",POINT (8.553877 47.358023),7
138,5,Rimini Bar,47.371618,8.532917,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.371618, 8.532917]}}",POINT (8.532917 47.371618),29
139,6,Safari Bar,47.375604,8.544421,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.375604, 8.544421]}}",POINT (8.544421 47.375604),21
140,7,Collana Bar e Caffè,47.365903,8.54657,Restaurant,"{'typepoint': {'type': 'Point', 'coordinates': [47.365903, 8.54657]}}",POINT (8.54657 47.365903),21
141,8,Rio Bar,47.376213,8.535826,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.376213, 8.535826]}}",POINT (8.535826 47.376213),47
142,9,Ebrietas Bar,47.375816,8.544394,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.375816, 8.544394]}}",POINT (8.544394 47.375816),21
143,10,01 Bar,47.373851,8.543038,Lounge,"{'typepoint': {'type': 'Point', 'coordinates': [47.373851, 8.543038]}}",POINT (8.543038 47.373851),31
144,11,ALMODOBAR - Café Bar Restaurant,47.366872,8.533199,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.366872, 8.533199]}}",POINT (8.533199 47.366872),19
145,12,Bar 45,47.371902,8.538227,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.371902, 8.538227]}}",POINT (8.538227 47.371902),51
